Variant;Precision;Recall;F1;Accuracy;Specificity;Phi
bigbluebutton_IR-ONLY_JSD_0.00.csv;0,03;0,68;0,05;0,35;0,34;0,01
bigbluebutton_IR-ONLY_JSD_0.01.csv;0,06;0,19;0,09;0,9;0,92;0,06
bigbluebutton_IR-ONLY_JSD_0.02.csv;0,06;0,19;0,09;0,9;0,92;0,07
bigbluebutton_IR-ONLY_JSD_0.03.csv;0,07;0,19;0,1;0,91;0,93;0,07
bigbluebutton_IR-ONLY_JSD_0.04.csv;0,07;0,18;0,1;0,91;0,93;0,07
bigbluebutton_IR-ONLY_JSD_0.05.csv;0,07;0,17;0,1;0,92;0,94;0,07
bigbluebutton_IR-ONLY_JSD_0.06.csv;0,07;0,15;0,1;0,92;0,95;0,07
bigbluebutton_IR-ONLY_JSD_0.07.csv;0,07;0,14;0,1;0,93;0,95;0,07
bigbluebutton_IR-ONLY_JSD_0.08.csv;0,08;0,12;0,09;0,94;0,96;0,06
bigbluebutton_IR-ONLY_JSD_0.09.csv;0,08;0,11;0,09;0,94;0,97;0,06
bigbluebutton_IR-ONLY_JSD_0.10.csv;0,07;0,08;0,08;0,95;0,97;0,05
bigbluebutton_IR-ONLY_JSD_0.11.csv;0,08;0,07;0,07;0,95;0,98;0,05
bigbluebutton_IR-ONLY_JSD_0.12.csv;0,07;0,05;0,06;0,96;0,98;0,04
bigbluebutton_IR-ONLY_JSD_0.13.csv;0,08;0,05;0,06;0,96;0,98;0,04
bigbluebutton_IR-ONLY_JSD_0.14.csv;0,08;0,04;0,05;0,96;0,99;0,04
bigbluebutton_IR-ONLY_JSD_0.15.csv;0,08;0,03;0,05;0,96;0,99;0,03
bigbluebutton_IR-ONLY_JSD_0.16.csv;0,08;0,03;0,04;0,96;0,99;0,03
bigbluebutton_IR-ONLY_JSD_0.17.csv;0,08;0,02;0,04;0,97;0,99;0,03
bigbluebutton_IR-ONLY_JSD_0.18.csv;0,08;0,02;0,03;0,97;0,99;0,03
bigbluebutton_IR-ONLY_JSD_0.19.csv;0,07;0,01;0,02;0,97;0,99;0,02
bigbluebutton_IR-ONLY_JSD_0.20.csv;0,08;0,01;0,02;0,97;1;0,02
bigbluebutton_IR-ONLY_LSI_0.00.csv;0,03;0,68;0,05;0,35;0,34;0,01
bigbluebutton_IR-ONLY_LSI_0.01.csv;0,04;0,25;0,07;0,81;0,82;0,03
bigbluebutton_IR-ONLY_LSI_0.02.csv;0,05;0,2;0,08;0,88;0,9;0,05
bigbluebutton_IR-ONLY_LSI_0.03.csv;0,06;0,17;0,09;0,91;0,93;0,06
bigbluebutton_IR-ONLY_LSI_0.04.csv;0,07;0,15;0,09;0,92;0,94;0,06
bigbluebutton_IR-ONLY_LSI_0.05.csv;0,07;0,13;0,09;0,93;0,95;0,06
bigbluebutton_IR-ONLY_LSI_0.06.csv;0,07;0,11;0,08;0,94;0,96;0,05
bigbluebutton_IR-ONLY_LSI_0.07.csv;0,06;0,08;0,07;0,94;0,97;0,04
bigbluebutton_IR-ONLY_LSI_0.08.csv;0,06;0,06;0,06;0,95;0,97;0,03
bigbluebutton_IR-ONLY_LSI_0.09.csv;0,06;0,05;0,06;0,95;0,98;0,03
bigbluebutton_IR-ONLY_LSI_0.10.csv;0,06;0,04;0,05;0,96;0,98;0,03
bigbluebutton_IR-ONLY_LSI_0.11.csv;0,06;0,04;0,05;0,96;0,98;0,03
bigbluebutton_IR-ONLY_LSI_0.12.csv;0,06;0,03;0,04;0,96;0,99;0,02
bigbluebutton_IR-ONLY_LSI_0.13.csv;0,07;0,03;0,04;0,96;0,99;0,03
