sourceID;targetID
42.txt;test_kieker.sh
20.txt;ShaSecurityProvider.java
19.txt;BCryptProvider.java
21.txt;AuthUserActionsRest.java
18.txt;AuthUserActionsRest.java
9.txt;RegistryREST.java
38.txt;RegistryREST.java
1.txt;RegistryREST.java
37.txt;RegistryREST.java
38.txt;Registry.java
1.txt;Registry.java
37.txt;Registry.java
42.txt;TestStoreLargeImages.java
14.txt;TestStoreLargeImages.java
42.txt;TestStoreAll.java
11.txt;TestImageDB.java
2.txt;TestImageDB.java
13.txt;TestImageDB.java
12.txt;TestImageDB.java
15.txt;TestImageDB.java
11.txt;TestImageDBKey.java
2.txt;TestImageDBKey.java
42.txt;TestStoreImage.java
2.txt;TestStoreImage.java
15.txt;TestStoreImage.java
14.txt;TestStoreImage.java
2.txt;TestImageScaler.java
13.txt;TestImageScaler.java
14.txt;TestImageScaler.java
16.txt;TestLeastRecentlyUsed.java
16.txt;TestLeastFrequentlyUsed.java
14.txt;DummyEntry.java
2.txt;TestImageProvider.java
7.txt;TestImageProvider.java
17.txt;DriveStorage.java
42.txt;StoreAll.java
42.txt;StoreLargeImages.java
2.txt;StoreLargeImages.java
14.txt;StoreLargeImages.java
10.txt;ImageProvider.java
11.txt;ImageProvider.java
2.txt;ImageProvider.java
13.txt;ImageProvider.java
12.txt;ImageProvider.java
15.txt;ImageProvider.java
14.txt;ImageProvider.java
7.txt;ImageProvider.java
11.txt;ImageCreator.java
12.txt;ImageCreator.java
11.txt;ImageIDFactory.java
2.txt;ImageIDFactory.java
25.txt;CachingMode.java
25.txt;CachingRule.java
11.txt;SetupController.java
12.txt;SetupController.java
15.txt;SetupController.java
11.txt;ImageScaler.java
13.txt;ImageScaler.java
12.txt;ImageScaler.java
15.txt;ImageScaler.java
10.txt;ImageProviderEndpoint.java
11.txt;ImageProviderEndpoint.java
2.txt;ImageProviderEndpoint.java
13.txt;ImageProviderEndpoint.java
12.txt;ImageProviderEndpoint.java
15.txt;ImageProviderEndpoint.java
7.txt;ImageProviderEndpoint.java
11.txt;ImageDBKey.java
2.txt;ImageDBKey.java
13.txt;ImageDBKey.java
12.txt;ImageDBKey.java
15.txt;ImageDBKey.java
7.txt;ImageDBKey.java
11.txt;ImageDB.java
2.txt;ImageDB.java
13.txt;ImageDB.java
12.txt;ImageDB.java
15.txt;ImageDB.java
7.txt;ImageDB.java
10.txt;StoreImage.java
11.txt;StoreImage.java
2.txt;StoreImage.java
15.txt;StoreImage.java
14.txt;StoreImage.java
25.txt;CacheManager.java
29.txt;OrderEndpoint.java
25.txt;DatabaseGenerationEndpoint.java
29.txt;OrderRepository.java
29.txt;PersistenceUser.java
3.txt;PersistenceUser.java
27.txt;AbstractRecommenderTest.java
32.txt;PreprocessedSlopeOneRecommenderTest.java
27.txt;AbstractRecommender.java
30.txt;AbstractRecommender.java
29.txt;OrderItemSet.java
30.txt;OrderItemSet.java
32.txt;PreprocessedSlopeOneRecommender.java
34.txt;PreprocessedSlopeOneRecommender.java
38.txt;RegistryClient.java
1.txt;RegistryClient.java
37.txt;RegistryClient.java
24.txt;AbstractCRUDEndpoint.java
11.txt;LoadBalancedImageOperations.java
2.txt;LoadBalancedImageOperations.java
13.txt;LoadBalancedImageOperations.java
12.txt;LoadBalancedImageOperations.java
15.txt;LoadBalancedImageOperations.java
7.txt;LoadBalancedImageOperations.java
24.txt;LoadBalancedCRUDOperations.java
23.txt;LoadBalancedCRUDOperations.java
21.txt;LoadBalancedStoreOperations.java
20.txt;LoadBalancedStoreOperations.java
37.txt;ServiceLoadBalancer.java
2.txt;ImageSize.java
15.txt;ImageSize.java
21.txt;SessionBlob.java
36.txt;OrderItem.java
28.txt;OrderItem.java
3.txt;User.java
