sourceID;targetID
9.txt;RegistryREST.java
9.txt;ServiceLoadBalancer.java
27.txt;UserEndpoint.java
27.txt;OrderEndpoint.java
27.txt;AbstractRecommenderTest.java
27.txt;AbstractRecommender.java
27.txt;RecommenderSelector.java
27.txt;IRecommender.java
27.txt;RecommendSingleEndpoint.java
27.txt;NonBalancedCRUDOperations.java
38.txt;RegistryREST.java
38.txt;Registry.java
38.txt;RegistryClient.java
42.txt;TestStoreAll.java
42.txt;TestStoreImage.java
42.txt;StoreAll.java
1.txt;RegistryClient.java
1.txt;ServiceLoadBalancer.java
25.txt;AbstractPersistenceRepository.java
25.txt;CacheManager.java
25.txt;DatabaseGenerationEndpoint.java
25.txt;AbstractCRUDEndpoint.java
25.txt;Tracing.java
25.txt;NonBalancedCRUDOperations.java
25.txt;LoadBalancedCRUDOperations.java
25.txt;ServiceLoadBalancer.java
24.txt;DatabaseManagementEntity.java
24.txt;AbstractPersistenceRepository.java
24.txt;DataGenerator.java
24.txt;DatabaseGenerationEndpoint.java
24.txt;TrainEndpoint.java
24.txt;AbstractCRUDEndpoint.java
24.txt;Tracing.java
24.txt;NonBalancedCRUDOperations.java
24.txt;LoadBalancedCRUDOperations.java
24.txt;RestUtil.java
32.txt;PreprocessedSlopeOneRecommender.java
32.txt;SlopeOneRecommender.java
32.txt;TrainEndpoint.java
32.txt;NonBalancedCRUDOperations.java
10.txt;ImageProvider.java
10.txt;ImageCreator.java
10.txt;ImageScaler.java
10.txt;ImageProviderEndpoint.java
10.txt;ImageDBKey.java
10.txt;ImageDB.java
10.txt;StoreImage.java
10.txt;LoadBalancedImageOperations.java
11.txt;ImageProvider.java
11.txt;ImageCreator.java
11.txt;ImageIDFactory.java
11.txt;ImageScaler.java
11.txt;ImageProviderEndpoint.java
11.txt;ImageDBKey.java
11.txt;ImageDB.java
11.txt;StoreImage.java
11.txt;ProductRepository.java
11.txt;LoadBalancedImageOperations.java
11.txt;ImageSize.java
11.txt;Product.java
17.txt;DriveStorage.java
17.txt;ImageProvider.java
17.txt;SetupController.java
17.txt;ImageProviderEndpoint.java
8.txt;IRecommender.java
8.txt;RecommendEndpoint.java
8.txt;RecommendSingleEndpoint.java
2.txt;TestImageProvider.java
2.txt;ImageProvider.java
2.txt;ImageProviderEndpoint.java
2.txt;ImageDBKey.java
2.txt;ImageDB.java
2.txt;StoreImage.java
2.txt;LoadBalancedImageOperations.java
13.txt;TestStoreLargeImages.java
13.txt;StoreLargeImages.java
13.txt;ImageProvider.java
13.txt;ImageCreator.java
13.txt;ImageScaler.java
13.txt;ImageProviderEndpoint.java
13.txt;ImageDBKey.java
13.txt;ImageDB.java
13.txt;StoreImage.java
13.txt;LoadBalancedImageOperations.java
13.txt;LoadBalancedStoreOperations.java
13.txt;ImageSize.java
13.txt;Product.java
13.txt;ImageSizePreset.java
19.txt;BCryptProvider.java
36.txt;OrderEndpoint.java
36.txt;OrderItemEndpoint.java
36.txt;PersistenceOrderItem.java
36.txt;PersistenceOrder.java
36.txt;OrderItemRepository.java
36.txt;IRecommender.java
36.txt;RecommendEndpoint.java
36.txt;RecommendSingleEndpoint.java
36.txt;OrderItem.java
36.txt;Order.java
22.txt;DatabaseGenerationEndpoint.java
28.txt;TrainEndpoint.java
5.txt;Tracing.java
29.txt;AuthUserActionsRest.java
29.txt;UserEndpoint.java
29.txt;OrderEndpoint.java
29.txt;OrderItemEndpoint.java
29.txt;OrderRepository.java
29.txt;UserRepository.java
29.txt;OrderItemRepository.java
29.txt;AbstractRecommender.java
29.txt;RecommenderSelector.java
29.txt;IRecommender.java
29.txt;RecommendEndpoint.java
29.txt;RecommendSingleEndpoint.java
29.txt;NonBalancedCRUDOperations.java
29.txt;LoadBalancedStoreOperations.java
29.txt;User.java
21.txt;AuthUserActionsRest.java
21.txt;LoadBalancedStoreOperations.java
21.txt;SessionBlob.java
20.txt;ShaSecurityProvider.java
20.txt;ISecurityProvider.java
20.txt;AuthUserActionsRest.java
20.txt;LoadBalancedStoreOperations.java
20.txt;SessionBlob.java
43.txt;SetupController.java
43.txt;DataGenerator.java
43.txt;DatabaseGenerationEndpoint.java
12.txt;ImageProvider.java
12.txt;ImageCreator.java
12.txt;SetupController.java
12.txt;ImageScaler.java
12.txt;ImageProviderEndpoint.java
12.txt;ImageDBKey.java
12.txt;ImageDB.java
12.txt;StoreImage.java
12.txt;LoadBalancedImageOperations.java
12.txt;Product.java
31.txt;AuthUserActionsRest.java
31.txt;DataGenerator.java
31.txt;UserEndpoint.java
31.txt;OrderEndpoint.java
31.txt;UserRepository.java
31.txt;AbstractRecommender.java
31.txt;TrainEndpoint.java
31.txt;RecommendEndpoint.java
31.txt;RecommendSingleEndpoint.java
31.txt;AbstractCRUDEndpoint.java
31.txt;NonBalancedCRUDOperations.java
31.txt;LoadBalancedCRUDOperations.java
31.txt;User.java
39.txt;TrainEndpoint.java
15.txt;ImageProvider.java
15.txt;ImageCreator.java
15.txt;ImageScaler.java
15.txt;ImageProviderEndpoint.java
15.txt;ImageDBKey.java
15.txt;ImageDB.java
15.txt;StoreImage.java
15.txt;LoadBalancedImageOperations.java
15.txt;Product.java
14.txt;TestStoreLargeImages.java
14.txt;StoreLargeImages.java
14.txt;ImageProvider.java
14.txt;ImageScaler.java
14.txt;StoreImage.java
40.txt;TrainEndpoint.java
37.txt;RegistryREST.java
37.txt;RegistryClient.java
37.txt;ServiceLoadBalancer.java
30.txt;OrderEndpoint.java
30.txt;AbstractRecommender.java
18.txt;AuthUserActionsRest.java
16.txt;TestLeastFrequentlyUsed.java
16.txt;ImageProviderEndpoint.java
16.txt;DatabaseGenerationEndpoint.java
16.txt;TrainEndpoint.java
23.txt;AbstractPersistenceRepository.java
23.txt;AbstractCRUDEndpoint.java
23.txt;Tracing.java
23.txt;NonBalancedCRUDOperations.java
23.txt;LoadBalancedCRUDOperations.java
34.txt;DataGenerator.java
4.txt;DatabaseGenerationEndpoint.java
4.txt;RegistryClient.java
4.txt;LoadBalancedCRUDOperations.java
4.txt;ServiceLoadBalancer.java
7.txt;TestImageProvider.java
7.txt;ImageProvider.java
7.txt;ImageCreator.java
7.txt;SetupController.java
7.txt;ImageProviderEndpoint.java
7.txt;ImageDBKey.java
7.txt;ImageDB.java
7.txt;StoreImage.java
7.txt;Tracing.java
7.txt;LoadBalancedImageOperations.java
7.txt;NonBalancedCRUDOperations.java
7.txt;LoadBalancedCRUDOperations.java
7.txt;ServiceLoadBalancer.java
