sourceID;targetID
41.txt;RegistryREST.java
41.txt;Registry.java
41.txt;PreprocessedSlopeOneRecommenderTest.java
41.txt;RegistryClientHeartbeatDaemon.java
9.txt;RegistryREST.java
9.txt;Registry.java
9.txt;RecommenderSelector.java
9.txt;RegistryClient.java
9.txt;ServiceLoadBalancerResult.java
9.txt;ServiceLoadBalancer.java
27.txt;UserEndpoint.java
27.txt;OrderEndpoint.java
27.txt;OrderRepository.java
27.txt;ProductRepository.java
27.txt;UserRepository.java
27.txt;AbstractRecommenderTest.java
27.txt;PreprocessedSlopeOneRecommenderTest.java
27.txt;AbstractRecommender.java
27.txt;RecommenderSelector.java
27.txt;IRecommender.java
27.txt;PreprocessedSlopeOneRecommender.java
27.txt;OrderBasedRecommender.java
27.txt;LoadBalancedRecommenderOperations.java
27.txt;Product.java
38.txt;RegistryREST.java
38.txt;Registry.java
38.txt;RegistryStartup.java
38.txt;RegistryClient.java
38.txt;Service.java
38.txt;StartupCallbackTask.java
38.txt;StartupCallback.java
38.txt;LoadBalancerTimeoutException.java
38.txt;ServiceLoadBalancer.java
38.txt;RegistryClientHeartbeatDaemon.java
42.txt;test_webui.sh
42.txt;test_kieker.sh
42.txt;ShaSecurityProviderTest.java
42.txt;ConstantKeyProviderTest.java
42.txt;TestNoStorage.java
42.txt;TestDriveStorage.java
42.txt;TestStoreLargeImages.java
42.txt;TestStoreAll.java
42.txt;TestImageDB.java
42.txt;TestImageDBKey.java
42.txt;TestStoreImage.java
42.txt;TestImageScaler.java
42.txt;TestRandomReplacement.java
42.txt;TestAbstractCache.java
42.txt;TestFirstInFirstOut.java
42.txt;TestLastInFirstOut.java
42.txt;AbstractCacheTestInit.java
42.txt;TestLeastRecentlyUsed.java
42.txt;TestAbstractEntry.java
42.txt;TestSimpleEntry.java
42.txt;TestTimedEntry.java
42.txt;TestCountedEntry.java
42.txt;TestLeastFrequentlyUsed.java
42.txt;TestMostRecentlyUsed.java
42.txt;TestCacheAll.java
42.txt;TestImageProvider.java
42.txt;StoreAll.java
42.txt;StoreLargeImages.java
42.txt;CacheAll.java
42.txt;StoreImage.java
42.txt;DataGeneratorTest.java
42.txt;RepositoryTest.java
42.txt;OrderBasedRecommenderTest.java
42.txt;DummyRecommenderTest.java
42.txt;AbstractRecommenderTest.java
42.txt;PreprocessedSlopeOneRecommenderTest.java
42.txt;PopularityBasedRecommenderTest.java
42.txt;AbstractRecommenderFunctionalityTest.java
42.txt;SlopeOneRecommenderTest.java
42.txt;InterfaceTests.java
1.txt;RegistryREST.java
1.txt;Registry.java
1.txt;RegistryClient.java
25.txt;CachingMode.java
25.txt;CachingRule.java
25.txt;ICacheEntry.java
25.txt;ImageProviderEndpoint.java
25.txt;AbstractPersistenceRepository.java
25.txt;CacheManager.java
25.txt;NonBalancedCRUDOperations.java
25.txt;LoadBalancedCRUDOperations.java
35.txt;categorylist.jsp
35.txt;PreprocessedSlopeOneRecommenderTest.java
35.txt;PreprocessedSlopeOneRecommender.java
24.txt;AbstractPersistenceRepository.java
24.txt;OrderRepository.java
24.txt;UserRepository.java
24.txt;CategoryRepository.java
24.txt;AbstractCRUDEndpoint.java
24.txt;NonBalancedCRUDOperations.java
