sourceID;targetID
9.txt;ReplaceStringViewModelTest.java
9.txt;GroupDialogViewModelTest.java
9.txt;GroupNodeViewModelTest.java
9.txt;GroupTreeViewModelTest.java
9.txt;LinkedFileViewModelTest.java
9.txt;AbbreviationViewModelTest.java
9.txt;JabRefCLI.java
9.txt;PreferencesMigrations.java
9.txt;JabRefLocaleProvider.java
9.txt;ReferenceViewModel.java
9.txt;JabRefAction.java
9.txt;JabRefExecutorService.java
9.txt;JabRefResourceLocator.java
9.txt;NoSelectionModel.java
9.txt;FileExtensionViewModel.java
9.txt;LogEventViewModel.java
9.txt;ImporterViewModel.java
9.txt;AbstractViewModel.java
9.txt;PushToTeXstudio.java
9.txt;AbstractUndoableJabRefEdit.java
9.txt;JabRefIkonHandler.java
9.txt;JabRefIconView.java
9.txt;JabRefMaterialDesignIcon.java
9.txt;ExporterViewModel.java
9.txt;PreferenceTabViewModel.java
9.txt;CustomEntryTypeViewModel.java
9.txt;FieldViewModel.java
9.txt;PropertiesTabViewModel.java
9.txt;JabRefGUI.java
10.txt;AuxCommandLineTest.java
10.txt;AuxCommandLine.java
10.txt;JabRefCLI.java
10.txt;RemoteClient.java
10.txt;JabRefItemDataProvider.java
10.txt;JabRefLocaleProvider.java
10.txt;JabRefDialogService.java
10.txt;JabRefExecutorService.java
10.txt;CLIMessageHandler.java
10.txt;JabRefResourceLocator.java
10.txt;PushToTeXstudio.java
10.txt;PushToTexmaker.java
10.txt;JabRefIkonHandler.java
10.txt;JabRefMaterialDesignIcon.java
10.txt;JabRefGUI.java
11.txt;SharedDatabasePreferences.java
11.txt;GrobidPreferences.java
11.txt;TelemetryPreferences.java
2.txt;PreferencesMigrationsTest.java
2.txt;JabRefCLI.java
2.txt;CustomEntryTypePreferenceMigration.java
2.txt;RemotePreferences.java
2.txt;SharedDatabasePreferences.java
2.txt;WebFetchers.java
2.txt;GrobidPreferences.java
2.txt;ImporterPreferences.java
2.txt;DOIPreferences.java
2.txt;TimestampPreferences.java
2.txt;ProxyPreferences.java
2.txt;SSLPreferences.java
2.txt;PreferencesDialogViewModel.java
2.txt;PreferencesSearchHandler.java
2.txt;InternalPreferences.java
2.txt;GuiPreferences.java
2.txt;TelemetryPreferences.java
2.txt;PreferencesService.java
2.txt;MrDlibPreferences.java
5.txt;TexBibEntriesResolverTest.java
5.txt;TypedBibEntryTest.java
5.txt;BibEntryAssert.java
5.txt;BibEntrySuggestionProviderTest.java
5.txt;CanonicalBibEntryTest.java
5.txt;BibEntryTypesManagerTest.java
5.txt;TexBibEntriesResolver.java
5.txt;MSBibMapping.java
5.txt;MSBibDatabase.java
5.txt;MSBibEntry.java
5.txt;MSBibEntryType.java
5.txt;EntryAnnotationImporter.java
5.txt;BstVM.java
5.txt;OOBibStyle.java
5.txt;DBMSSynchronizer.java
5.txt;UpdateRefusedEvent.java
5.txt;ConnectionLostEvent.java
5.txt;SharedEntriesNotPresentEvent.java
5.txt;SharedEntryNotPresentException.java
5.txt;AstrophysicsDataSystem.java
5.txt;BibsonomyScraper.java
5.txt;TypedBibEntry.java
5.txt;AutosaveManager.java
5.txt;BibEntryWriter.java
5.txt;EntryComparator.java
5.txt;IdComparator.java
5.txt;BibDatabaseDiff.java
5.txt;FieldComparator.java
5.txt;CrossRefEntryComparator.java
5.txt;BibStringChecker.java
5.txt;TypeChecker.java
5.txt;BibTeXEntryTypeChecker.java
5.txt;IntegrityCheck.java
5.txt;MetaDataSerializer.java
5.txt;EmbeddedBibFilePdfExporter.java
5.txt;MSBibExporter.java
5.txt;BibDatabaseWriter.java
5.txt;JabRefItemDataProvider.java
5.txt;CitationStyleGenerator.java
5.txt;ConvertToBiblatexCleanup.java
5.txt;DuplicateCheck.java
5.txt;DatabaseMerger.java
5.txt;PreviewWithSourceTab.java
5.txt;MainTableDataModel.java
5.txt;UndoableAbbreviator.java
5.txt;UndoableUnabbreviator.java
5.txt;SearchResultsTableDataModel.java
5.txt;CustomLocalDragboard.java
5.txt;ThreeWayMergeViewModel.java
5.txt;ImportEntriesViewModel.java
5.txt;IdentifierEditor.java
5.txt;ISBNIdentifierEditorViewModel.java
5.txt;DoiIdentifierEditorViewModel.java
5.txt;BaseIdentifierEditorViewModel.java
5.txt;EprintIdentifierEditorViewModel.java
5.txt;CitationKeyEditor.java
5.txt;RelatedArticlesTab.java
5.txt;BibEntrySuggestionProvider.java
5.txt;LatexBibEntriesResolverResult.java
5.txt;CitationMarkerNumericBibEntry.java
5.txt;BibEntry.java
5.txt;BibEntryTypeBuilder.java
5.txt;SharedBibEntryData.java
5.txt;EntryChangedEvent.java
5.txt;CanonicalBibEntry.java
5.txt;BibEntryType.java
5.txt;BibDatabases.java
5.txt;BibDatabaseContext.java
5.txt;BibDatabase.java
5.txt;BibDatabaseModeDetection.java
5.txt;BibDatabaseContextChangedEvent.java
5.txt;EntriesAddedEvent.java
5.txt;BibDatabaseMode.java
5.txt;BibEntryPreferences.java
12.txt;SynchronizationEventListenerTest.java
12.txt;EventListenerTest.java
12.txt;UndoRedoEvent.java
12.txt;AddUndoableActionEvent.java
12.txt;UndoChangeEvent.java
12.txt;LogEventViewModel.java
12.txt;AutosaveUiManager.java
12.txt;GroupUpdatedEvent.java
12.txt;EntriesEventSource.java
12.txt;FieldChangedEvent.java
12.txt;EntriesEvent.java
12.txt;FieldAddedOrRemovedEvent.java
12.txt;EntryChangedEvent.java
12.txt;KeyChangeListener.java
12.txt;EntriesRemovedEvent.java
12.txt;AutosaveEvent.java
12.txt;EntriesAddedEvent.java
3.txt;ScienceDirectTest.java
4.txt;KeyBindingsTabModelTest.java
7.txt;GuiPreferences.java
