modelElementID,codeId
1,src/main/java/teammates/ui/webapi/DeleteAccountRequestAction.java
4,src/main/java/teammates/ui/webapi/DeleteAccountRequestAction.java
5,src/main/java/teammates/ui/webapi/DeleteAccountRequestAction.java
7,src/main/java/teammates/ui/webapi/DeleteAccountRequestAction.java
22,src/main/java/teammates/ui/webapi/DeleteAccountRequestAction.java
23,src/main/java/teammates/ui/webapi/DeleteAccountRequestAction.java
25,src/main/java/teammates/ui/webapi/DeleteAccountRequestAction.java
26,src/main/java/teammates/ui/webapi/DeleteAccountRequestAction.java
29,src/main/java/teammates/ui/webapi/DeleteAccountRequestAction.java
81,src/main/java/teammates/ui/webapi/DeleteAccountRequestAction.java
85,src/main/java/teammates/ui/webapi/DeleteAccountRequestAction.java
97,src/main/java/teammates/ui/webapi/DeleteAccountRequestAction.java
2,src/main/java/teammates/ui/request/FeedbackSessionRemindRequest.java
11,src/main/java/teammates/ui/request/FeedbackSessionRemindRequest.java
77,src/main/java/teammates/ui/request/FeedbackSessionRemindRequest.java
155,src/main/java/teammates/ui/request/FeedbackSessionRemindRequest.java
168,src/main/java/teammates/ui/request/FeedbackSessionRemindRequest.java
184,src/main/java/teammates/ui/request/FeedbackSessionRemindRequest.java
2,src/test/java/teammates/ui/webapi/GetFeedbackSessionActionTest.java
11,src/test/java/teammates/ui/webapi/GetFeedbackSessionActionTest.java
77,src/test/java/teammates/ui/webapi/GetFeedbackSessionActionTest.java
155,src/test/java/teammates/ui/webapi/GetFeedbackSessionActionTest.java
168,src/test/java/teammates/ui/webapi/GetFeedbackSessionActionTest.java
184,src/test/java/teammates/ui/webapi/GetFeedbackSessionActionTest.java
1,src/test/java/teammates/ui/webapi/ArchiveCourseActionTest.java
4,src/test/java/teammates/ui/webapi/ArchiveCourseActionTest.java
5,src/test/java/teammates/ui/webapi/ArchiveCourseActionTest.java
7,src/test/java/teammates/ui/webapi/ArchiveCourseActionTest.java
22,src/test/java/teammates/ui/webapi/ArchiveCourseActionTest.java
23,src/test/java/teammates/ui/webapi/ArchiveCourseActionTest.java
25,src/test/java/teammates/ui/webapi/ArchiveCourseActionTest.java
26,src/test/java/teammates/ui/webapi/ArchiveCourseActionTest.java
29,src/test/java/teammates/ui/webapi/ArchiveCourseActionTest.java
81,src/test/java/teammates/ui/webapi/ArchiveCourseActionTest.java
85,src/test/java/teammates/ui/webapi/ArchiveCourseActionTest.java
97,src/test/java/teammates/ui/webapi/ArchiveCourseActionTest.java
20,src/main/java/teammates/logic/core/NotificationsLogic.java
21,src/main/java/teammates/logic/core/NotificationsLogic.java
86,src/main/java/teammates/logic/core/NotificationsLogic.java
2,src/test/java/teammates/ui/webapi/DeleteFeedbackSessionActionTest.java
11,src/test/java/teammates/ui/webapi/DeleteFeedbackSessionActionTest.java
77,src/test/java/teammates/ui/webapi/DeleteFeedbackSessionActionTest.java
155,src/test/java/teammates/ui/webapi/DeleteFeedbackSessionActionTest.java
168,src/test/java/teammates/ui/webapi/DeleteFeedbackSessionActionTest.java
184,src/test/java/teammates/ui/webapi/DeleteFeedbackSessionActionTest.java
1,src/client/java/teammates/client/scripts/DataMigrationForSanitizedDataInStudentAttributes.java
4,src/client/java/teammates/client/scripts/DataMigrationForSanitizedDataInStudentAttributes.java
18,src/client/java/teammates/client/scripts/DataMigrationForSanitizedDataInStudentAttributes.java
194,src/client/java/teammates/client/scripts/DataMigrationForSanitizedDataInStudentAttributes.java
195,src/client/java/teammates/client/scripts/DataMigrationForSanitizedDataInStudentAttributes.java
196,src/client/java/teammates/client/scripts/DataMigrationForSanitizedDataInStudentAttributes.java
197,src/client/java/teammates/client/scripts/DataMigrationForSanitizedDataInStudentAttributes.java
198,src/client/java/teammates/client/scripts/DataMigrationForSanitizedDataInStudentAttributes.java
2,src/main/java/teammates/storage/api/OfyHelper.java
52,src/main/java/teammates/storage/api/OfyHelper.java
55,src/main/java/teammates/storage/api/OfyHelper.java
85,src/main/java/teammates/storage/api/OfyHelper.java
87,src/main/java/teammates/storage/api/OfyHelper.java
94,src/main/java/teammates/storage/api/OfyHelper.java
96,src/main/java/teammates/storage/api/OfyHelper.java
98,src/main/java/teammates/storage/api/OfyHelper.java
102,src/main/java/teammates/storage/api/OfyHelper.java
106,src/main/java/teammates/storage/api/OfyHelper.java
111,src/main/java/teammates/storage/api/OfyHelper.java
117,src/main/java/teammates/storage/api/OfyHelper.java
131,src/main/java/teammates/storage/api/OfyHelper.java
145,src/main/java/teammates/storage/api/OfyHelper.java
148,src/main/java/teammates/storage/api/OfyHelper.java
150,src/main/java/teammates/storage/api/OfyHelper.java
153,src/main/java/teammates/storage/api/OfyHelper.java
185,src/main/java/teammates/storage/api/OfyHelper.java
20,src/lnp/java/teammates/lnp/util/LNPResultsStatistics.java
155,src/lnp/java/teammates/lnp/util/LNPResultsStatistics.java
157,src/lnp/java/teammates/lnp/util/LNPResultsStatistics.java
175,src/lnp/java/teammates/lnp/util/LNPResultsStatistics.java
20,src/main/java/teammates/common/util/EmailType.java
155,src/main/java/teammates/common/util/EmailType.java
157,src/main/java/teammates/common/util/EmailType.java
175,src/main/java/teammates/common/util/EmailType.java
1,src/main/java/teammates/common/datatransfer/ErrorLogEntry.java
20,src/main/java/teammates/common/datatransfer/ErrorLogEntry.java
127,src/main/java/teammates/common/datatransfer/ErrorLogEntry.java
155,src/main/java/teammates/common/datatransfer/ErrorLogEntry.java
156,src/main/java/teammates/common/datatransfer/ErrorLogEntry.java
157,src/main/java/teammates/common/datatransfer/ErrorLogEntry.java
158,src/main/java/teammates/common/datatransfer/ErrorLogEntry.java
159,src/main/java/teammates/common/datatransfer/ErrorLogEntry.java
160,src/main/java/teammates/common/datatransfer/ErrorLogEntry.java
174,src/main/java/teammates/common/datatransfer/ErrorLogEntry.java
