modelElementID,sentence
_yGgUMFkHEeyewPSmlgszyA,18
_yGgUMFkHEeyewPSmlgszyA,13
_yGgUMFkHEeyewPSmlgszyA,12
_yGgUMFkHEeyewPSmlgszyA,10
_yGgUMFkHEeyewPSmlgszyA,15
_s0aIcFkHEeyewPSmlgszyA,65
_s0aIcFkHEeyewPSmlgszyA,68
_yGgUMFkHEeyewPSmlgszyA,8
_yGgUMFkHEeyewPSmlgszyA,9
_yGgUMFkHEeyewPSmlgszyA,6
_s0aIcFkHEeyewPSmlgszyA,63
_s0aIcFkHEeyewPSmlgszyA,72
_s0aIcFkHEeyewPSmlgszyA,71
_XuNf4FkJEeyewPSmlgszyA,25
_yGgUMFkHEeyewPSmlgszyA,45
_yGgUMFkHEeyewPSmlgszyA,37
_0e5u8FkHEeyewPSmlgszyA,6
_0e5u8FkHEeyewPSmlgszyA,5
_0e5u8FkHEeyewPSmlgszyA,4
_4yx-8FkHEeyewPSmlgszyA,76
_s0aIcFkHEeyewPSmlgszyA,5
_XuNf4FkJEeyewPSmlgszyA,49
_oN4CMFkHEeyewPSmlgszyA,66
_XuNf4FkJEeyewPSmlgszyA,50
_oN4CMFkHEeyewPSmlgszyA,65
_XuNf4FkJEeyewPSmlgszyA,52
_2BgxMFkHEeyewPSmlgszyA,78
_0e5u8FkHEeyewPSmlgszyA,14
_XuNf4FkJEeyewPSmlgszyA,58
_6sergFkHEeyewPSmlgszyA,44
_6sergFkHEeyewPSmlgszyA,45
_yGgUMFkHEeyewPSmlgszyA,71
_2BgxMFkHEeyewPSmlgszyA,79
_yGgUMFkHEeyewPSmlgszyA,66
_9wZIcFkHEeyewPSmlgszyA,55
_6sergFkHEeyewPSmlgszyA,58
_nwrCMFwPEeyiuNx_RO7j-Q,56
_nwrCMFwPEeyiuNx_RO7j-Q,57
_4yx-8FkHEeyewPSmlgszyA,34
_nwrCMFwPEeyiuNx_RO7j-Q,58
_nwrCMFwPEeyiuNx_RO7j-Q,59
_nwrCMFwPEeyiuNx_RO7j-Q,60
_nwrCMFwPEeyiuNx_RO7j-Q,61
_nwrCMFwPEeyiuNx_RO7j-Q,64
_4yx-8FkHEeyewPSmlgszyA,28
_6sergFkHEeyewPSmlgszyA,77
_RDHFIFwPEeyiuNx_RO7j-Q,47
_RDHFIFwPEeyiuNx_RO7j-Q,46
_nwrCMFwPEeyiuNx_RO7j-Q,70
