modelElementID,sentence
_Coy0kEl4Ee243f2e4VWs6w,4
_Coy0kEl4Ee243f2e4VWs6w,6
_Coy0kEl4Ee243f2e4VWs6w,7
_EBiwMEl4Ee243f2e4VWs6w,10
_NUdtEEl4Ee243f2e4VWs6w,7
_Coy0kEl4Ee243f2e4VWs6w,1
_EBiwMEl4Ee243f2e4VWs6w,2
_NUdtEEl4Ee243f2e4VWs6w,11
_He3LoEl4Ee243f2e4VWs6w,4
_MFIzMEl4Ee243f2e4VWs6w,5
_He3LoEl4Ee243f2e4VWs6w,5
_MFIzMEl4Ee243f2e4VWs6w,4
_MFIzMEl4Ee243f2e4VWs6w,6
_MFIzMEl4Ee243f2e4VWs6w,1
_He3LoEl4Ee243f2e4VWs6w,9
_He3LoEl4Ee243f2e4VWs6w,6
_NUdtEEl4Ee243f2e4VWs6w,2
_MFIzMEl4Ee243f2e4VWs6w,12
_MFIzMEl4Ee243f2e4VWs6w,9
_He3LoEl4Ee243f2e4VWs6w,1
