modelElementID,sentence
_3LCnIKESEeu-mYqkDskRow,1
_3LCnIKESEeu-mYqkDskRow,8
_3LCnIKESEeu-mYqkDskRow,7
_9JlCIKESEeu-mYqkDskRow,9
_Bae2oKETEeu-mYqkDskRow,10
_1lMqsKESEeu-mYqkDskRow,97
_GaP8QKETEeu-mYqkDskRow,1
_9JlCIKESEeu-mYqkDskRow,1
_GaP8QKETEeu-mYqkDskRow,4
_zUmhEKESEeu-mYqkDskRow,1
_EIoe8KETEeu-mYqkDskRow,185
_Bae2oKETEeu-mYqkDskRow,1
_zUmhEKESEeu-mYqkDskRow,127
_EIoe8KETEeu-mYqkDskRow,186
_EIoe8KETEeu-mYqkDskRow,187
_EIoe8KETEeu-mYqkDskRow,188
_EIoe8KETEeu-mYqkDskRow,189
_EIoe8KETEeu-mYqkDskRow,190
_GaP8QKETEeu-mYqkDskRow,18
_3LCnIKESEeu-mYqkDskRow,122
_zUmhEKESEeu-mYqkDskRow,20
_3LCnIKESEeu-mYqkDskRow,119
_3LCnIKESEeu-mYqkDskRow,117
_KGVMcKETEeu-mYqkDskRow,9
_zUmhEKESEeu-mYqkDskRow,155
_3LCnIKESEeu-mYqkDskRow,22
_zUmhEKESEeu-mYqkDskRow,156
_Bae2oKETEeu-mYqkDskRow,173
_zUmhEKESEeu-mYqkDskRow,159
_1lMqsKESEeu-mYqkDskRow,85
_zUmhEKESEeu-mYqkDskRow,160
_3LCnIKESEeu-mYqkDskRow,131
_zUmhEKESEeu-mYqkDskRow,157
_zUmhEKESEeu-mYqkDskRow,158
_3LCnIKESEeu-mYqkDskRow,129
_Bae2oKETEeu-mYqkDskRow,163
_1lMqsKESEeu-mYqkDskRow,81
_KGVMcKETEeu-mYqkDskRow,137
_3LCnIKESEeu-mYqkDskRow,68
_3LCnIKESEeu-mYqkDskRow,77
_EIoe8KETEeu-mYqkDskRow,15
_zUmhEKESEeu-mYqkDskRow,174
_EIoe8KETEeu-mYqkDskRow,16
_EIoe8KETEeu-mYqkDskRow,17
_zUmhEKESEeu-mYqkDskRow,175
_3LCnIKESEeu-mYqkDskRow,47
_9JlCIKESEeu-mYqkDskRow,177
_GaP8QKETEeu-mYqkDskRow,196
_GaP8QKETEeu-mYqkDskRow,197
_GaP8QKETEeu-mYqkDskRow,194
_GaP8QKETEeu-mYqkDskRow,195
_EIoe8KETEeu-mYqkDskRow,1
_9JlCIKESEeu-mYqkDskRow,125
_3LCnIKESEeu-mYqkDskRow,185
_9JlCIKESEeu-mYqkDskRow,123
_9JlCIKESEeu-mYqkDskRow,130
_1lMqsKESEeu-mYqkDskRow,23
_1lMqsKESEeu-mYqkDskRow,22
_GaP8QKETEeu-mYqkDskRow,198
_3LCnIKESEeu-mYqkDskRow,97
_9JlCIKESEeu-mYqkDskRow,128
_9JlCIKESEeu-mYqkDskRow,118
_9JlCIKESEeu-mYqkDskRow,101
_1lMqsKESEeu-mYqkDskRow,26
_1lMqsKESEeu-mYqkDskRow,25
_3LCnIKESEeu-mYqkDskRow,176
_1lMqsKESEeu-mYqkDskRow,29
_3LCnIKESEeu-mYqkDskRow,85
_3LCnIKESEeu-mYqkDskRow,86
_1lMqsKESEeu-mYqkDskRow,1
_3LCnIKESEeu-mYqkDskRow,84
_1lMqsKESEeu-mYqkDskRow,7
_1lMqsKESEeu-mYqkDskRow,4
_3LCnIKESEeu-mYqkDskRow,79
_1lMqsKESEeu-mYqkDskRow,5
_9JlCIKESEeu-mYqkDskRow,133
_9JlCIKESEeu-mYqkDskRow,131
_9JlCIKESEeu-mYqkDskRow,132
_3LCnIKESEeu-mYqkDskRow,87
_9JlCIKESEeu-mYqkDskRow,88
_3LCnIKESEeu-mYqkDskRow,88
