sentence_no,elementID
9,src/main/java/org/jabref/gui/copyfiles/CopyFilesResultListDependency.java
9,src/main/java/org/jabref/logic/util/io/AutoLinkPreferences.java
9,src/main/java/org/jabref/gui/mergeentries/newmergedialog/cell/ThreeWayMergeCell.java
9,src/main/java/org/jabref/architecture/AllowedToUseLogic.java
9,src/main/java/org/jabref/gui/util/ControlHelper.java
9,src/main/java/org/jabref/gui/mergeentries/newmergedialog/cell/FieldValueCell.java
9,src/main/java/org/jabref/gui/copyfiles/CopyFilesDialogViewModel.java
9,src/main/java/org/jabref/gui/util/ViewModelListCellFactory.java
9,src/main/java/org/jabref/gui/DragAndDropDataFormats.java
9,src/main/java/org/jabref/gui/util/JabRefResourceLocator.java
9,src/main/java/org/jabref/logic/JabRefException.java
9,src/main/java/org/jabref/gui/mergeentries/newmergedialog/cell/HeaderCell.java
9,src/main/java/org/jabref/gui/preferences/customimporter/CustomImporterTabViewModel.java
9,src/main/java/org/jabref/gui/DefaultInjector.java
9,src/main/java/org/jabref/gui/errorconsole/LogEventViewModel.java
9,src/main/java/org/jabref/gui/undo/AbstractUndoableJabRefEdit.java
1,src/main/java/org/jabref/architecture/AllowedToUseLogic.java
1,src/test/java/org/jabref/testutils/category/GUITest.java
10,src/main/java/org/jabref/gui/mergeentries/newmergedialog/cell/ThreeWayMergeCell.java
10,src/main/java/org/jabref/gui/util/JabRefResourceLocator.java
10,src/main/java/org/jabref/logic/JabRefException.java
10,src/main/java/org/jabref/gui/undo/AbstractUndoableJabRefEdit.java
10,src/main/java/org/jabref/gui/shared/ConnectToSharedDatabaseCommand.java
10,src/test/java/org/jabref/cli/JabRefCLITest.java
10,src/main/java/org/jabref/gui/remote/CLIMessageHandler.java
10,src/main/java/org/jabref/logic/importer/fileformat/mods/package-info.java
10,src/main/java/org/jabref/cli/AuxCommandLine.java
10,src/test/java/org/jabref/logic/l10n/LocalizationBundleForTest.java
10,src/test/java/org/jabref/logic/layout/format/HTMLCharsTest.java
10,src/main/java/org/jabref/logic/l10n/Localization.java
10,src/main/java/org/jabref/gui/sidepane/SidePaneComponent.java
10,src/main/java/org/jabref/logic/l10n/LocalizationLocator.java
10,src/test/java/org/jabref/cli/AuxCommandLineTest.java
10,src/main/java/org/jabref/logic/remote/server/RemoteMessageHandler.java
10,src/main/java/org/jabref/gui/sidepane/GroupsSidePaneComponent.java
11,src/main/java/org/jabref/model/groups/AutomaticPersonsGroup.java
11,src/main/java/org/jabref/logic/importer/fetcher/CustomizableKeyFetcher.java
11,src/main/java/org/jabref/preferences/PreferencesService.java
11,src/main/java/org/jabref/logic/xmp/DocumentInformationExtractor.java
11,src/main/java/org/jabref/gui/autocompleter/AppendPersonNamesStrategy.java
11,src/main/java/org/jabref/logic/importer/fileformat/medline/PersonalNameSubject.java
8,src/main/java/org/jabref/logic/importer/fileformat/mods/package-info.java
8,src/test/java/org/jabref/logic/exporter/HtmlExportFormatTest.java
2,src/test/java/org/jabref/cli/JabRefCLITest.java
2,src/main/java/org/jabref/logic/importer/fileformat/mods/package-info.java
2,src/test/java/org/jabref/gui/autocompleter/AutoCompleterUtil.java
2,src/main/java/org/jabref/logic/xmp/XmpUtilReader.java
2,src/test/java/org/jabref/gui/util/ColorUtilTest.java
2,src/main/java/org/jabref/gui/fieldeditors/URLUtil.java
2,src/main/java/org/jabref/gui/externalfiles/AutoSetFileLinksUtil.java
2,src/test/java/org/jabref/logic/importer/fileformat/MedlineImporterTest.java
2,src/main/java/org/jabref/preferences/PreferencesService.java
2,src/test/java/org/jabref/logic/importer/fileformat/RISImporterTest.java
2,src/main/java/org/jabref/logic/remote/RemoteUtil.java
2,src/main/java/org/jabref/logic/xmp/XmpUtilShared.java
13,src/test/java/org/jabref/architecture/TestArchitectureTest.java
13,src/main/java/org/jabref/model/schema/DublinCoreSchemaCustom.java
5,src/main/java/org/jabref/architecture/AllowedToUseLogic.java
5,src/main/java/org/jabref/logic/shared/event/UpdateRefusedEvent.java
5,src/main/java/org/jabref/model/groups/event/GroupUpdatedEvent.java
5,src/test/java/org/jabref/gui/externalfiles/ImportHandlerTest.java
5,src/main/java/org/jabref/model/entry/field/BibField.java
5,src/main/java/org/jabref/logic/shared/exception/OfflineLockException.java
5,src/main/java/org/jabref/model/entry/event/EntryChangedEvent.java
5,src/main/java/org/jabref/model/metadata/event/MetaDataChangedEvent.java
5,src/main/java/org/jabref/model/database/event/EntriesAddedEvent.java
5,src/test/java/org/jabref/model/database/KeyChangeListenerTest.java
5,src/main/java/org/jabref/model/entry/event/EntriesEvent.java
5,src/main/java/org/jabref/model/database/event/EntriesRemovedEvent.java
12,src/main/java/org/jabref/gui/errorconsole/LogEventViewModel.java
12,src/main/java/org/jabref/gui/util/ViewModelTreeTableCellFactory.java
12,src/main/java/org/jabref/gui/LibraryTab.java
12,src/main/java/org/jabref/gui/documentviewer/DocumentViewerView.java
12,src/main/java/org/jabref/gui/util/ViewModelTreeCellFactory.java
12,src/main/java/org/jabref/gui/logging/ApplicationInsightsLogEvent.java
12,src/main/java/org/jabref/gui/util/OpenHyperlinksInExternalBrowser.java
12,src/main/java/org/jabref/model/groups/event/GroupUpdatedEvent.java
12,src/main/java/org/jabref/logic/shared/DBMSSynchronizer.java
12,src/main/java/org/jabref/logic/undo/AddUndoableActionEvent.java
