sourceID,targetID
27,uninstall-remote.sh
65,uninstall-remote.sh
31,uninstall-remote.sh
27,uninstall-local.sh
65,uninstall-local.sh
31,uninstall-local.sh
27,install-remote.sh
65,install-remote.sh
31,install-remote.sh
27,convert-remote.sh
65,convert-remote.sh
31,convert-remote.sh
27,convert-local.sh
65,convert-local.sh
31,convert-local.sh
27,etherpad-export.sh
65,etherpad-export.sh
31,etherpad-export.sh
27,install-local.sh
65,install-local.sh
31,install-local.sh
27,install-hasura.sh
65,install-hasura.sh
31,install-hasura.sh
69,ConferenceCommand.java
69,VoiceUserJoinedEvent.java
62,VoiceUserJoinedEvent.java
27,FreeswitchStatusReplyEvent.java
27,FreeswitchHeartbeatEvent.java
62,VoiceUserMutedEvent.java
47,VoiceConfRunningAndRecordingEvent.java
27,VoiceUsersStatusEvent.java
62,VoiceUsersStatusEvent.java
69,UnknownConferenceEvent.java
62,VoiceUserLeftEvent.java
47,VoiceStartRecordingEvent.java
69,VoiceCallStateEvent.java
27,ConferenceEventListener.java
69,ConferenceEventListener.java
69,VoiceConferenceEvent.java
62,VoiceConferenceEvent.java
62,VoiceUserLockedEvent.java
62,VoiceUserTalkingEvent.java
69,IVoiceConferenceService.java
62,IVoiceConferenceService.java
27,FreeswitchConferenceEventListener.java
69,FreeswitchConferenceEventListener.java
27,ESLEventListener.java
69,ConferenceMemberFlags.java
69,ConferenceMember.java
62,ConferenceMember.java
84,ConnectionManager.java
7,ConnectionManager.java
27,wait-for-it.sh
65,wait-for-it.sh
31,wait-for-it.sh
4,ClientTest.java
4,SocketClientTest.java
4,ExampleClient.java
27,EslEventListener.java
27,ChannelEventRunnable.java
84,ManagerConnection.java
84,DefaultManagerConnection.java
7,DefaultManagerConnection.java
84,InboundConnectionFailure.java
7,InboundConnectionFailure.java
27,Client.java
4,SocketClient.java
27,import-tests-ci-resources.sh
65,import-tests-ci-resources.sh
31,import-tests-ci-resources.sh
27,stop-network.sh
65,stop-network.sh
31,stop-network.sh
27,restart-network.sh
65,restart-network.sh
31,restart-network.sh
27,testclient.sh
65,testclient.sh
31,testclient.sh
48,ParamsProcessorUtil.java
47,DataStore.java
54,DataStore.java
4,HTML5ProcessLine.java
53,MeetingResponseDetail.java
54,MeetingResponseDetail.java
53,MeetingRunning.java
54,MeetingRunning.java
53,JoinMeeting.java
69,JoinMeeting.java
54,JoinMeeting.java
51,JoinMeeting.java
62,JoinMeeting.java
53,EndMeeting.java
54,EndMeeting.java
53,MeetingInfo.java
54,MeetingInfo.java
53,CreateMeeting.java
54,CreateMeeting.java
53,Password.java
54,Password.java
69,JoinPassword.java
47,Recording.java
47,MeetingService.java
11,MeetingService.java
54,MeetingService.java
51,MeetingService.java
53,EndMeetingMessage.java
54,EndMeetingMessage.java
53,DestroyMeetingMessage.java
54,DestroyMeetingMessage.java
53,CreateMeetingMessage.java
54,CreateMeetingMessage.java
69,UserJoined.java
62,UserJoined.java
53,MeetingStarted.java
54,MeetingStarted.java
53,MeetingEnded.java
54,MeetingEnded.java
69,UserJoinedVoice.java
62,UserJoinedVoice.java
78,PresentationUploadToken.java
73,PresentationUploadToken.java
53,UserLockedInMeeting.java
54,UserLockedInMeeting.java
53,MeetingDestroyed.java
54,MeetingDestroyed.java
69,UserLeftVoice.java
62,UserLeftVoice.java
53,MeetingLayout.java
54,MeetingLayout.java
53,Breakout.java
54,Breakout.java
53,Meeting.java
54,Meeting.java
26,Meeting.java
51,Meeting.java
62,User.java
51,UserSession.java
62,UserSession.java
54,Poll.java
47,RecordingServiceFileImpl.java
48,RecordingServiceFileImpl.java
47,RecordingServiceDbImpl.java
53,ServiceUtils.java
54,ServiceUtils.java
53,IMeetingService.java
54,IMeetingService.java
65,IBbbWebApiGWApp.java
34,IBbbWebApiGWApp.java
53,MeetingProp2.java
53,Meeting2.java
75,SupportedDocumentFilter.java
78,UploadedPresentation.java
79,UploadedPresentation.java
51,UploadedPresentation.java
73,UploadedPresentation.java
74,UploadedPresentation.java
78,DocumentConversionServiceImp.java
75,DocumentConversionServiceImp.java
