sourceID;targetID
10.txt;src/main/java/org/jabref/cli/JabRefCLI.java
10.txt;src/main/java/org/jabref/logic/remote/client/RemoteClient.java
10.txt;src/main/java/org/jabref/gui/JabRefExecutorService.java
11.txt;src/main/java/org/jabref/logic/shared/prefs/SharedDatabasePreferences.java
5.txt;src/test/java/org/jabref/logic/TypedBibEntryTest.java
5.txt;src/test/java/org/jabref/logic/bibtex/BibEntryAssert.java
5.txt;src/main/java/org/jabref/logic/msbib/MSBibEntry.java
5.txt;src/main/java/org/jabref/logic/openoffice/style/OOBibStyle.java
5.txt;src/main/java/org/jabref/logic/openoffice/style/OOBibStyleGetCitationMarker.java
5.txt;src/main/java/org/jabref/logic/TypedBibEntry.java
5.txt;src/main/java/org/jabref/logic/exporter/BibDatabaseWriter.java
5.txt;src/main/java/org/jabref/logic/citationstyle/CSLAdapter.java
5.txt;src/main/java/org/jabref/logic/citationkeypattern/AbstractCitationKeyPattern.java
5.txt;src/main/java/org/jabref/logic/database/DuplicateCheck.java
5.txt;src/main/java/org/jabref/gui/maintable/MainTableDataModel.java
5.txt;src/main/java/org/jabref/gui/mergeentries/newmergedialog/ThreeWayMergeViewModel.java
5.txt;src/main/java/org/jabref/model/entry/BibEntry.java
5.txt;src/main/java/org/jabref/model/entry/BibEntryType.java
5.txt;src/main/java/org/jabref/model/database/BibDatabase.java
5.txt;src/main/java/org/jabref/model/database/BibDatabaseModeDetection.java
12.txt;src/test/java/org/jabref/logic/shared/SynchronizationEventListenerTest.java
6.txt;src/main/java/org/jabref/logic/journals/AbbreviationWriter.java
6.txt;src/main/java/org/jabref/logic/importer/Importer.java
6.txt;src/main/java/org/jabref/logic/exporter/Exporter.java
6.txt;src/main/java/org/jabref/logic/exporter/TemplateExporter.java
6.txt;src/main/java/org/jabref/logic/xmp/XmpUtilWriter.java
6.txt;src/main/java/org/jabref/logic/crawler/Crawler.java
6.txt;src/main/java/org/jabref/gui/exporter/CreateModifyExporterDialogViewModel.java
6.txt;src/main/java/org/jabref/model/strings/StringUtil.java
6.txt;src/main/java/org/jabref/preferences/ImportExportPreferences.java
4.txt;src/test/java/org/jabref/logic/layout/format/ReplaceTest.java
4.txt;src/test/java/org/jabref/logic/layout/LayoutHelperTest.java
4.txt;src/test/java/org/jabref/logic/shared/DBMSSynchronizerTest.java
4.txt;src/test/java/org/jabref/logic/shared/SynchronizationSimulatorTest.java
4.txt;src/test/java/org/jabref/logic/importer/fetcher/AstrophysicsDataSystemTest.java
4.txt;src/test/java/org/jabref/logic/importer/fetcher/GrobidCitationFetcherTest.java
4.txt;src/test/java/org/jabref/gui/slr/ManageStudyDefinitionViewModelTest.java
4.txt;src/test/java/org/jabref/gui/importer/NewEntryActionTest.java
4.txt;src/test/java/org/jabref/model/search/rules/ContainsBasedSearchRuleTest.java
4.txt;src/test/java/org/jabref/model/entry/BibtexStringTest.java
4.txt;src/test/java/org/jabref/model/database/KeyChangeListenerTest.java
4.txt;src/main/java/org/jabref/gui/openoffice/Bootstrap.java
