sourceID;targetID
9.txt;src/test/java/org/jabref/gui/edit/ReplaceStringViewModelTest.java
9.txt;src/test/java/org/jabref/gui/groups/GroupDialogViewModelTest.java
9.txt;src/test/java/org/jabref/gui/groups/GroupNodeViewModelTest.java
9.txt;src/test/java/org/jabref/gui/groups/GroupTreeViewModelTest.java
9.txt;src/test/java/org/jabref/gui/fieldeditors/LinkedFileViewModelTest.java
9.txt;src/test/java/org/jabref/gui/preferences/journals/AbbreviationViewModelTest.java
9.txt;src/main/java/org/jabref/cli/JabRefCLI.java
9.txt;src/main/java/org/jabref/migrations/PreferencesMigrations.java
9.txt;src/main/java/org/jabref/logic/citationstyle/JabRefLocaleProvider.java
9.txt;src/main/java/org/jabref/gui/texparser/ReferenceViewModel.java
9.txt;src/main/java/org/jabref/gui/actions/JabRefAction.java
9.txt;src/main/java/org/jabref/gui/JabRefExecutorService.java
9.txt;src/main/java/org/jabref/gui/util/JabRefResourceLocator.java
9.txt;src/main/java/org/jabref/gui/util/NoSelectionModel.java
9.txt;src/main/java/org/jabref/gui/externalfiles/FileExtensionViewModel.java
9.txt;src/main/java/org/jabref/gui/errorconsole/LogEventViewModel.java
9.txt;src/main/java/org/jabref/gui/importer/ImporterViewModel.java
9.txt;src/main/java/org/jabref/gui/AbstractViewModel.java
9.txt;src/main/java/org/jabref/gui/push/PushToTeXstudio.java
9.txt;src/main/java/org/jabref/gui/undo/AbstractUndoableJabRefEdit.java
9.txt;src/main/java/org/jabref/gui/icon/JabRefIkonHandler.java
9.txt;src/main/java/org/jabref/gui/icon/JabRefIconView.java
9.txt;src/main/java/org/jabref/gui/icon/JabRefMaterialDesignIcon.java
9.txt;src/main/java/org/jabref/gui/exporter/ExporterViewModel.java
9.txt;src/main/java/org/jabref/gui/preferences/PreferenceTabViewModel.java
9.txt;src/main/java/org/jabref/gui/preferences/customentrytypes/CustomEntryTypeViewModel.java
9.txt;src/main/java/org/jabref/gui/preferences/customentrytypes/FieldViewModel.java
9.txt;src/main/java/org/jabref/gui/libraryproperties/PropertiesTabViewModel.java
9.txt;src/main/java/org/jabref/gui/JabRefGUI.java
10.txt;src/test/java/org/jabref/cli/AuxCommandLineTest.java
10.txt;src/main/java/org/jabref/cli/AuxCommandLine.java
10.txt;src/main/java/org/jabref/cli/JabRefCLI.java
10.txt;src/main/java/org/jabref/logic/citationstyle/JabRefItemDataProvider.java
10.txt;src/main/java/org/jabref/logic/citationstyle/JabRefLocaleProvider.java
10.txt;src/main/java/org/jabref/gui/JabRefDialogService.java
10.txt;src/main/java/org/jabref/gui/JabRefExecutorService.java
10.txt;src/main/java/org/jabref/gui/remote/CLIMessageHandler.java
10.txt;src/main/java/org/jabref/gui/util/JabRefResourceLocator.java
10.txt;src/main/java/org/jabref/gui/importer/ParserResultWarningDialog.java
10.txt;src/main/java/org/jabref/gui/push/PushToTeXstudio.java
10.txt;src/main/java/org/jabref/gui/push/PushToTexmaker.java
10.txt;src/main/java/org/jabref/gui/icon/JabRefIkonHandler.java
10.txt;src/main/java/org/jabref/gui/icon/JabRefMaterialDesignIcon.java
10.txt;src/main/java/org/jabref/gui/JabRefGUI.java
11.txt;src/main/java/org/jabref/logic/shared/prefs/SharedDatabasePreferences.java
11.txt;src/main/java/org/jabref/logic/importer/fetcher/GrobidPreferences.java
