sourceID;targetID
186.txt;src/test/java/teammates/test/TestNgXmlTest.java
186.txt;src/test/java/teammates/test/AssertHelperTest.java
186.txt;src/test/java/teammates/test/BaseTestCase.java
186.txt;src/test/java/teammates/test/TestPropertiesTest.java
186.txt;src/test/java/teammates/architecture/ArchitectureTest.java
186.txt;src/test/java/teammates/common/util/TimeHelperTest.java
186.txt;src/test/java/teammates/common/util/StringHelperTest.java
186.txt;src/test/java/teammates/common/datatransfer/TeamEvalResultTest.java
186.txt;src/test/java/teammates/common/datatransfer/attributes/InstructorAttributesTest.java
186.txt;src/test/java/teammates/common/datatransfer/attributes/AccountAttributesTest.java
186.txt;src/test/java/teammates/common/datatransfer/attributes/FeedbackResponseAttributesTest.java
186.txt;src/test/java/teammates/common/datatransfer/attributes/StudentAttributesTest.java
186.txt;src/test/java/teammates/common/datatransfer/attributes/AccountRequestAttributesTest.java
186.txt;src/test/java/teammates/common/datatransfer/attributes/FeedbackSessionAttributesTest.java
186.txt;src/test/java/teammates/common/datatransfer/attributes/BaseAttributesTest.java
186.txt;src/test/java/teammates/common/datatransfer/attributes/FeedbackQuestionAttributesTest.java
186.txt;src/test/java/teammates/common/datatransfer/attributes/NotificationAttributesTest.java
186.txt;src/test/java/teammates/common/datatransfer/attributes/CourseAttributesTest.java
186.txt;src/test/java/teammates/common/datatransfer/SessionResultsBundleTest.java
186.txt;src/test/java/teammates/ui/webapi/GetUsageStatisticsActionTest.java
186.txt;src/test/java/teammates/ui/webapi/GetNotificationsActionTest.java
186.txt;src/test/java/teammates/ui/webapi/BaseActionTest.java
186.txt;src/test/java/teammates/ui/webapi/GetInstructorsActionTest.java
186.txt;src/test/java/teammates/ui/webapi/GetHasResponsesActionTest.java
186.txt;src/test/java/teammates/ui/webapi/CalculateUsageStatisticsActionTest.java
186.txt;src/e2e/java/teammates/e2e/util/TestDataValidityTest.java
186.txt;src/e2e/java/teammates/e2e/util/TestNgXmlTest.java
186.txt;src/e2e/java/teammates/e2e/util/TestPropertiesTest.java
151.txt;src/main/java/teammates/storage/api/EntitiesDb.java
151.txt;src/main/java/teammates/common/datatransfer/attributes/EntityAttributes.java
151.txt;src/main/java/teammates/common/exception/EntityAlreadyExistsException.java
151.txt;src/main/java/teammates/common/exception/EntityDoesNotExistException.java
41.txt;src/e2e/java/teammates/e2e/pageobjects/Browser.java
41.txt;src/e2e/java/teammates/e2e/pageobjects/AdminSearchPage.java
41.txt;src/e2e/java/teammates/e2e/pageobjects/AppPage.java
100.txt;src/main/java/teammates/common/exception/InvalidParametersException.java
170.txt;src/test/java/teammates/test/AssertHelperTest.java
170.txt;src/test/java/teammates/test/BaseTestCase.java
170.txt;src/test/java/teammates/test/TestPropertiesTest.java
170.txt;src/test/java/teammates/common/util/TimeHelperTest.java
170.txt;src/test/java/teammates/common/util/SanitizationHelperTest.java
170.txt;src/test/java/teammates/common/util/StringHelperTest.java
170.txt;src/test/java/teammates/common/datatransfer/TeamEvalResultTest.java
